customer_id,cluster_id,segment_name,pca_1,pca_2
C100000,1,Mid-Value Occasional Shoppers,-0.26742498796378145,-1.0170194558562335
C100001,2,Low-Engagement / Dormant,-2.0696991172692987,1.8306954831414315
C100002,0,Low-Engagement / Dormant,-2.642515680761878,-1.9534907642913835
C100003,1,Mid-Value Occasional Shoppers,-0.45902972818528387,-1.2516474257512078
C100004,2,Low-Engagement / Dormant,-1.0722711675923577,2.189489255700627
C100005,1,Mid-Value Occasional Shoppers,-0.37865392035813994,-1.1017551156781868
C100006,1,Mid-Value Occasional Shoppers,-1.1836013391947984,-1.0445491662302109
C100007,1,Mid-Value Occasional Shoppers,-0.6298901095658427,-0.1943211714941887
C100008,0,Low-Engagement / Dormant,-2.764684705573766,-0.7535401657777502
C100009,1,Mid-Value Occasional Shoppers,-0.869016025337125,-1.4745152661060466
C100010,1,Mid-Value Occasional Shoppers,-0.9179677681467941,-1.4607209302373292
C100011,1,Mid-Value Occasional Shoppers,-0.9631846845872944,-0.892876460532305
C100012,1,Mid-Value Occasional Shoppers,-0.19489909700692415,-1.0899697725799935
C100013,1,Mid-Value Occasional Shoppers,0.0031977143061408773,0.43128134903116044
C100014,1,Mid-Value Occasional Shoppers,-0.18664323613274236,-0.9722760007952099
C100015,3,High-Value Loyalists,3.3339394118185206,-0.19984637323233875
C100016,1,Mid-Value Occasional Shoppers,0.3145862965315233,-0.5123430604962648
C100017,1,Mid-Value Occasional Shoppers,0.2603540281639123,0.23144181264555724
C100018,1,Mid-Value Occasional Shoppers,-0.20929641000616347,0.5408644783933128
C100019,1,Mid-Value Occasional Shoppers,0.4510431142207946,0.5230324076023198
C100021,2,Low-Engagement / Dormant,-1.523519763652806,1.9228283505993495
C100022,2,Low-Engagement / Dormant,-3.1990059420872146,3.512385902666904
C100023,0,Low-Engagement / Dormant,-2.633197704293175,-2.04501242011022
C100024,3,High-Value Loyalists,2.630624487287957,-0.752508240866743
C100025,3,High-Value Loyalists,3.193550570997786,-0.4181118874341679
