customer_id,cluster_id,segment_name,pca_1,pca_2
C100000,1,Mid-Value Occasional Shoppers,-0.2674249879637817,-1.0170194558562329
C100001,2,Low-Engagement / Dormant,-2.0696991172692982,1.8306954831414293
C100002,0,Low-Engagement / Dormant,-2.6425156807618784,-1.9534907642913832
C100003,1,Mid-Value Occasional Shoppers,-0.4590297281852841,-1.251647425751207
C100004,2,Low-Engagement / Dormant,-1.0722711675923575,2.189489255700626
C100005,1,Mid-Value Occasional Shoppers,-0.37865392035814,-1.101755115678186
C100006,1,Mid-Value Occasional Shoppers,-1.1836013391947984,-1.0445491662302109
C100007,1,Mid-Value Occasional Shoppers,-0.6298901095658425,-0.1943211714941884
C100008,0,Low-Engagement / Dormant,-2.7646847055737656,-0.7535401657777511
C100009,1,Mid-Value Occasional Shoppers,-0.8690160253371252,-1.474515266106045
C100010,1,Mid-Value Occasional Shoppers,-0.9179677681467944,-1.460720930237328
C100011,1,Mid-Value Occasional Shoppers,-0.9631846845872948,-0.8928764605323043
C100012,1,Mid-Value Occasional Shoppers,-0.1948990970069243,-1.0899697725799926
C100013,1,Mid-Value Occasional Shoppers,0.0031977143061409,0.4312813490311603
C100014,1,Mid-Value Occasional Shoppers,-0.1866432361327426,-0.9722760007952088
C100015,3,High-Value Loyalists,3.333939411818521,-0.199846373232339
C100016,1,Mid-Value Occasional Shoppers,0.3145862965315231,-0.5123430604962641
C100017,1,Mid-Value Occasional Shoppers,0.260354028163912,0.2314418126455579
C100018,1,Mid-Value Occasional Shoppers,-0.2092964100061635,0.5408644783933125
C100019,1,Mid-Value Occasional Shoppers,0.4510431142207946,0.5230324076023201
C100021,2,Low-Engagement / Dormant,-1.5235197636528055,1.922828350599348
C100022,2,Low-Engagement / Dormant,-3.1990059420872137,3.5123859026668987
C100023,0,Low-Engagement / Dormant,-2.633197704293175,-2.04501242011022
C100024,3,High-Value Loyalists,2.6306244872879567,-0.7525082408667427
C100025,3,High-Value Loyalists,3.193550570997786,-0.418111887434168
C100026,1,Mid-Value Occasional Shoppers,-1.2316036380411224,-1.1852396432345946
C100027,1,Mid-Value Occasional Shoppers,0.3432146041702952,-0.334570833102288
C100028,2,Low-Engagement / Dormant,-0.6501606741366818,1.791258275635598
C100029,1,Mid-Value Occasional Shoppers,-0.5230244597391784,-1.1387618206344448
C100030,1,Mid-Value Occasional Shoppers,0.6896400683029223,0.5324108566986758
C100031,3,High-Value Loyalists,2.1441839957297053,-0.6758134873593018
C100032,0,Low-Engagement / Dormant,-2.7712202180511176,-2.091969388978596
C100033,0,Low-Engagement / Dormant,-2.633197704293175,-2.04501242011022
C100034,3,High-Value Loyalists,4.316348033976323,-0.0995392970704701
C100035,0,Low-Engagement / Dormant,-1.7368433876952456,-1.0359690269431423
C100036,1,Mid-Value Occasional Shoppers,1.4321308690539107,-1.0528551486271056
C100037,3,High-Value Loyalists,2.677324068890224,-0.5661148503113874
C100038,2,Low-Engagement / Dormant,0.0264345624432822,1.5787302753272998
C100039,3,High-Value Loyalists,1.876667000974073,-0.3819141988099823
C100040,1,Mid-Value Occasional Shoppers,-0.8136376156435773,-0.6462994222871762
C100042,3,High-Value Loyalists,6.476271939047632,0.7361885079807444
C100043,1,Mid-Value Occasional Shoppers,-0.1241219945219687,-0.8716591587538743
